battery.raw,followers.raw,skywalker,left,test.1.raw,test.2.raw,test.3.raw,exam.raw,days
37,1400,1,0,78,97,78,78,TR
96,1300,1,0,90,90,92,92,TR
62,5900,1,0,55,73,54,54,TR
98,2300,0,0,99,100,91,84,TR
68,1200,1,0,50,74,61,74,TR
51,3800,0,0,78,67,47,80,MWF
60,5300,1,0,59,46,30,38,TR
74,2800,1,0,75,81,80,83,TR
64,5200,0,0,98,100,90,92,MWF
80,3700,1,0,62,74,75,69,TR
78,6000,0,0,90,85,69,70,TR
82,10400,1,0,75,82,77,75,TR
56,2000,0,0,64,80,100,71,MWF
74,2100,0,0,99,95,98,98,MWF
96,2700,1,0,100,100,100,79,TR
69,3100,1,1,65,76,61,65,Online
75,3600,1,0,45,39,64,48,MWF
65,2100,0,0,85,0,0,0,MWF
96,3100,0,0,79,92,77,79,MWF
83,3200,1,0,94,88,67,78,TR
75,9800,1,0,29,60,68,44,TR
67,1100,0,0,51,48,49,21,MWF
67,4200,0,0,86,81,63,79,MWF
21,300,0,0,13,0,0,0,MWF
84,7100,0,0,93,95,92,78,MWF
50,300,1,0,32,0,0,0,TR
67,3900,1,0,70,73,82,70,Online
85,3000,0,0,81,76,81,79,MWF
52,2200,1,0,85,90,73,85,TR
69,1600,0,0,48,61,53,76,MWF
68,4300,1,0,72,63,77,63,MWF
61,7100,1,0,60,62,0,0,MWF
71,1900,1,0,77,73,65,87,MWF
93,2900,1,0,90,94,88,94,TR
70,4300,1,0,50,35,0,0,TR
84,7800,1,0,66,90,87,83,TR
78,4500,0,0,88,100,90,90,TR
55,1500,0,0,90,0,0,0,TR
76,600,0,0,80,100,83,90,TR
63,8900,1,0,60,51,68,49,TR
96,2100,0,0,96,80,90,82,Online
91,5100,1,0,98,97,92,92,TR
69,1900,1,0,75,82,78,80,TR
100,1900,1,0,100,100,100,93,Online
100,4500,0,0,85,98,96,91,TR
72,7100,1,0,73,76,57,76,TR
78,3800,1,1,0,0,0,0,TR
68,300,0,0,92,71,64,85,MWF
74,6200,1,0,71,66,74,85,TR
78,3500,1,0,89,100,85,80,TR
93,8600,1,0,88,87,87,66,TR
95,6700,0,0,91,99,99,93,Online
98,1000,1,0,74,79,67,75,TR
75,7600,0,0,93,93,81,80,TR
44,1900,1,0,96,74,85,84,MWF
100,1000,1,0,53,57,64,57,TR
33,3300,0,0,90,80,83,83,MWF
99,1300,0,0,95,84,95,84,MWF
100,1500,1,0,94,100,95,93,TR
73,1400,0,0,70,58,64,37,MWF
98,1200,0,1,84,88,84,60,MWF
70,2200,0,0,93,91,84,87,TR
74,2000,1,0,60,94,68,76,TR
87,2500,0,0,72,42,54,0,MWF
76,600,1,0,60,63,61,15,TR
95,5200,1,0,90,100,95,93,TR
63,1200,0,0,95,93,100,91,MWF
82,5500,1,0,98,100,87,96,MWF
25,2800,0,0,0,0,0,0,MWF
76,7500,1,0,74,89,79,79,MWF
100,7500,1,0,92,100,82,91,TR
63,3100,0,0,75,93,81,75,MWF
68,4000,1,0,90,87,84,84,TR
58,4000,1,0,28,31,49,11,TR
67,300,0,0,93,90,96,95,MWF
72,6800,1,0,55,87,72,68,TR
61,4300,0,0,86,100,73,57,TR
73,3800,0,0,85,82,100,75,MWF
91,5400,1,0,62,72,55,75,TR
72,4800,1,0,63,49,39,39,MWF
100,600,0,0,83,64,66,91,Online
97,1500,0,0,88,51,80,43,MWF
68,900,1,0,0,0,36,0,TR
38,2500,0,0,61,0,0,0,MWF
60,3500,1,0,80,86,65,65,Online
67,6500,0,0,98,75,62,87,MWF
73,3600,1,0,55,25,48,57,TR
73,7200,1,0,80,93,84,77,TR
76,3300,0,0,100,85,92,84,MWF
52,5400,0,0,96,97,97,91,MWF
65,700,1,0,65,74,74,65,TR
69,1300,1,0,72,96,63,44,TR
0,0,0,0,97,95,88,92,MWF
71,6600,1,0,89,92,80,76,TR
84,8600,1,0,97,77,76,88,TR
87,6400,1,0,82,81,69,81,TR
84,4700,1,0,82,98,87,87,TR
87,3300,1,0,82,92,77,77,TR
85,10700,0,0,100,95,92,95,MWF
81,6400,0,0,73,77,74,72,MWF
73,4400,0,0,82,82,83,79,MWF
71,4400,0,0,66,64,52,66,Online
74,1500,0,1,96,70,88,64,Online
83,5700,0,0,86,100,80,95,Online
100,1300,1,0,72,58,45,60,TR
78,5100,1,0,77,81,68,73,TR
80,4300,1,0,83,100,84,85,Online
56,2500,0,0,86,54,80,73,Online
42,1300,0,0,75,95,86,78,MWF
67,2300,1,0,0,0,0,0,TR
87,7000,1,0,66,52,52,52,TR
84,5100,1,0,75,56,70,72,TR
67,900,0,0,100,63,81,56,MWF
68,4700,1,0,64,50,77,61,TR
66,7100,0,0,0,0,0,0,MWF
53,4200,1,0,70,72,74,60,TR
97,1500,1,0,80,92,96,76,TR
71,2900,1,0,36,52,25,38,TR
60,2800,0,1,97,83,83,97,Online
69,5200,0,0,37,52,69,37,MWF
40,1200,1,1,79,81,80,83,TR
77,2600,1,0,82,80,89,89,TR
81,4600,0,0,100,48,50,89,TR
52,4200,1,0,75,70,70,60,TR
82,1500,0,0,81,55,74,89,MWF
84,3000,1,0,59,50,78,60,TR
93,2700,1,0,90,95,83,70,TR
59,1200,0,0,87,85,80,85,Online
66,1900,0,0,55,56,81,72,MWF
86,700,1,0,90,81,87,91,MWF
94,2200,1,0,74,77,79,61,TR
61,2800,1,0,47,54,58,21,TR
94,1300,0,0,96,92,95,84,MWF
78,500,0,0,81,57,0,0,MWF
83,3100,1,0,77,57,38,17,TR
57,6300,0,0,86,74,89,81,MWF
88,3800,0,0,100,95,92,91,MWF
87,5100,1,0,88,78,67,67,TR
99,4400,1,0,88,94,56,88,TR
98,2500,0,0,100,68,98,88,MWF
72,5900,1,0,80,89,75,83,MWF
100,1200,1,0,100,100,100,100,TR
100,900,1,1,51,53,34,48,Online
69,5700,0,0,0,0,0,0,MWF
48,1900,1,0,90,60,33,51,TR
73,4300,0,0,91,95,93,88,MWF
100,400,0,0,57,100,91,82,TR
94,3000,1,0,51,76,69,33,TR
54,4200,0,0,64,80,61,61,MWF
57,4300,0,0,90,98,78,87,MWF
83,6400,1,0,70,97,68,73,TR
92,2800,0,0,68,83,91,67,MWF
0,0,0,0,77,93,75,89,MWF
82,5700,1,0,78,88,75,66,TR
73,5200,1,0,98,73,75,72,TR
91,4700,0,0,98,90,85,85,MWF
77,1300,0,0,63,94,85,72,MWF
43,1000,1,0,60,84,92,60,TR
85,4000,1,0,92,100,96,87,TR
92,7100,1,0,100,85,85,75,TR
91,5400,1,0,81,97,83,83,TR
90,1300,0,0,85,94,81,81,Online
79,10100,1,0,72,80,72,61,TR
83,4600,0,0,84,99,79,81,Online
90,2500,1,0,86,78,87,78,TR
31,900,0,0,71,80,53,70,MWF
99,3000,1,0,93,84,88,96,TR
82,4200,1,0,92,83,96,74,TR
78,4400,1,0,87,67,100,87,TR
76,5700,1,0,92,0,0,0,MWF
95,1700,0,0,59,64,66,66,Online
71,8800,1,0,74,51,53,53,TR
79,1700,1,0,75,95,42,85,TR
68,6500,1,0,67,75,64,65,TR
94,2800,1,0,86,90,96,94,TR
76,8400,0,0,87,87,88,85,TR
80,1300,0,0,83,74,83,83,TR
68,2400,1,0,89,78,48,55,TR
70,6600,1,0,63,59,67,59,TR
68,1000,0,0,79,94,88,88,TR
0,0,1,0,99,98,96,96,MWF
79,2800,0,0,85,56,74,85,TR
80,4800,1,0,81,100,99,99,TR
98,2700,0,0,99,92,100,99,Online
84,2900,0,1,84,69,54,48,Online
92,1600,1,0,78,80,90,60,TR
91,6100,0,0,100,99,90,90,Online
98,1300,0,0,73,82,73,73,Online
59,5700,0,0,73,68,70,71,Online
83,5400,0,0,97,91,0,0,MWF
75,300,0,1,83,77,71,77,Online
48,6100,1,0,82,99,74,61,TR
40,1000,0,0,76,0,0,0,MWF
89,6900,1,0,60,72,67,60,TR
72,6000,1,0,76,69,93,76,TR
67,3600,0,0,81,91,87,87,MWF
83,800,0,0,87,75,76,74,Online
97,3500,1,0,82,43,59,65,TR
82,1100,1,0,86,90,78,63,TR
85,2000,1,0,59,78,66,60,TR
68,6800,1,1,63,69,75,75,Online
80,1200,1,0,100,100,96,98,TR
100,600,0,0,91,94,92,93,Online
0,0,1,0,27,46,39,0,MWF
52,1600,1,0,68,67,68,51,TR
87,2800,1,0,52,0,0,0,Online
95,9000,1,0,84,88,96,70,TR
100,700,1,0,97,81,71,80,TR
83,10950,1,1,71,64,64,64,Online
65,8100,0,0,83,88,97,80,MWF
90,1000,0,1,83,67,74,65,Online
69,5200,0,1,71,33,58,51,Online
81,2500,1,0,89,93,80,89,TR
78,4600,1,0,95,88,90,83,TR
82,2400,0,0,100,99,95,92,TR
32,2100,1,0,84,80,67,93,TR
83,2200,0,1,54,85,72,73,Online
42,800,1,0,96,95,89,89,MWF
90,3300,0,0,100,86,85,85,TR
72,5100,0,0,89,84,75,75,MWF
94,2000,0,0,62,76,59,62,TR
98,11100,1,0,87,88,94,70,TR
64,2300,0,0,47,56,53,47,MWF
95,900,1,0,99,80,89,90,TR
69,9200,1,0,42,84,43,0,TR
81,4100,1,0,84,45,67,21,TR
99,1200,0,0,93,94,98,98,MWF
77,5900,1,0,77,95,86,90,TR
32,1800,1,0,36,34,37,34,TR
85,5400,1,0,85,100,99,91,TR
83,6600,1,0,97,96,78,94,TR
50,300,0,1,77,81,73,72,Online
94,1600,0,0,93,100,97,75,Online
73,1800,1,0,75,77,73,92,TR
60,300,1,0,86,91,91,86,TR
100,2200,0,0,97,96,97,88,MWF
74,700,1,0,53,79,46,50,TR
72,6700,1,0,55,74,71,73,TR
98,1000,1,0,96,94,93,96,TR
53,4700,0,0,64,35,0,0,MWF
58,1000,1,0,0,0,0,0,TR
57,1900,1,0,86,79,82,83,TR
54,1300,1,0,85,95,81,92,TR
63,5800,1,0,74,68,74,61,TR
62,900,0,0,70,20,46,48,MWF
70,7000,1,0,45,75,68,81,Online
80,3500,0,0,74,78,62,83,Online
87,2800,0,0,91,88,79,79,TR
84,10300,1,0,88,92,86,85,TR
78,4900,0,0,89,91,91,68,TR
64,5700,0,0,75,49,95,67,Online
63,2200,1,0,78,73,76,76,TR
56,9100,0,0,91,53,44,93,MWF
100,1300,1,0,99,99,100,98,TR
83,2800,1,0,60,75,71,67,TR
63,1700,1,0,91,56,84,77,TR
73,1700,1,0,65,85,81,60,TR
93,2300,1,0,100,96,94,92,TR
86,5000,1,0,78,70,82,79,Online
61,1300,0,0,81,70,78,70,MWF
89,2700,0,1,55,76,40,62,Online
45,3900,0,0,82,64,64,61,MWF
69,4000,1,0,62,56,52,40,MWF
85,300,0,0,79,78,50,61,TR
100,600,0,1,96,100,100,96,Online
70,7000,1,0,84,62,65,66,TR
60,3400,1,0,88,93,84,84,MWF
73,3500,0,0,70,52,43,33,MWF
74,1200,0,0,85,84,76,81,MWF
88,4500,0,0,100,86,88,98,TR
53,2800,1,0,62,60,76,60,TR
40,1400,0,0,93,88,88,82,MWF
89,8400,1,0,62,76,60,76,TR
87,3900,0,0,95,80,100,74,MWF
93,4900,1,0,66,82,83,74,MWF
62,4200,1,0,48,71,0,0,Online
72,900,1,0,71,27,0,0,TR
78,2300,1,0,65,33,0,0,TR
70,6200,1,0,85,84,58,60,TR
75,3800,0,0,93,82,96,73,MWF
81,6900,1,0,63,77,64,77,TR
67,5300,1,0,66,52,57,53,TR
71,6900,0,0,70,55,82,70,MWF
79,1000,1,0,91,84,74,76,TR
74,2500,0,1,78,34,0,0,MWF
72,4000,1,0,85,88,83,87,TR
83,6200,0,0,80,78,71,77,MWF
64,9600,1,0,77,67,73,70,TR
94,5100,1,0,83,97,87,84,TR
89,1400,1,0,59,59,86,66,TR
81,3600,0,0,91,82,52,54,MWF
93,2900,0,0,90,86,90,81,Online
66,2700,0,0,50,31,64,50,MWF
69,5100,1,0,32,54,47,0,TR
87,5700,0,0,92,82,72,67,TR
99,4300,1,0,94,95,94,89,TR
85,6200,0,0,77,77,73,87,Online
69,7300,1,0,0,0,0,0,TR
71,700,0,0,0,0,0,0,MWF
77,7000,0,0,71,61,59,61,MWF
93,1900,0,1,51,61,61,48,Online
69,2700,0,0,75,75,64,75,TR
97,2500,0,0,74,72,69,57,TR
91,500,0,0,100,100,86,86,MWF
81,6200,0,0,77,100,74,74,Online
100,400,0,0,98,99,97,78,MWF
97,7300,1,0,100,100,100,100,TR
88,2500,1,0,83,0,0,0,TR
100,300,0,0,88,92,91,82,MWF
73,1100,1,0,83,68,97,60,TR
100,900,0,0,90,87,86,86,MWF
87,5800,1,0,90,76,71,72,TR
81,2700,0,1,65,39,24,31,Online
90,2300,1,0,82,79,85,79,TR
73,3800,1,0,92,100,100,94,TR
76,3700,1,0,80,66,65,87,TR
93,600,1,0,72,91,90,98,TR
76,7300,1,0,92,96,100,89,MWF
49,8000,1,0,67,73,56,27,TR
98,1000,0,0,64,62,66,66,Online
75,2900,1,0,93,81,88,84,Online
68,5200,0,0,67,65,74,67,TR
46,2300,0,0,93,95,85,90,MWF
70,5800,1,0,75,60,76,57,TR
73,1800,0,0,83,84,59,76,MWF
100,900,1,0,89,94,81,89,TR
72,600,1,0,69,66,51,51,TR
94,2900,1,0,92,100,81,85,TR
55,5900,1,0,71,69,80,69,MWF
83,4700,1,0,91,86,97,86,Online
97,2300,1,0,97,86,85,88,TR
76,3500,1,0,92,79,60,69,MWF
80,3900,1,0,61,46,64,47,TR
55,3100,1,0,79,80,74,80,MWF
88,900,0,0,96,80,85,85,MWF
68,1000,0,0,84,81,88,88,TR
69,6500,1,0,100,100,87,87,TR
88,5100,1,0,41,0,0,0,TR
73,1900,0,0,79,81,67,51,MWF
84,2500,1,0,76,67,49,64,TR
92,1300,1,0,85,82,93,93,TR
67,6000,1,0,58,60,62,60,TR
88,12000,1,0,85,79,75,91,TR
63,3800,1,0,67,67,53,32,TR
94,6000,1,0,76,80,73,70,TR
78,1500,1,0,42,24,57,67,TR
90,5600,0,0,86,93,88,81,MWF
93,3400,1,0,68,70,81,75,TR
48,6800,1,0,74,53,66,69,TR
70,2100,0,0,72,78,68,63,MWF
96,2900,0,0,92,82,96,92,MWF
72,2900,0,0,87,100,89,87,MWF
78,5800,1,0,88,72,73,60,TR
92,1800,0,0,72,72,69,85,MWF
65,4400,1,0,77,79,51,60,TR
100,300,1,0,87,56,71,67,TR
76,1200,0,1,0,0,0,0,Online
80,2700,1,0,89,97,89,78,TR
91,2700,1,0,78,82,82,80,TR
97,1200,0,0,89,90,79,79,MWF
64,600,0,0,94,76,100,93,TR
27,1000,0,0,59,0,0,0,MWF
87,5800,1,0,76,63,56,56,TR
93,6000,1,0,90,90,82,90,TR
93,4200,0,0,80,96,90,73,TR
98,3400,1,0,88,82,89,70,TR
69,2500,1,0,79,47,47,31,TR
72,3400,1,0,96,79,54,81,TR
50,3500,1,0,86,0,0,0,TR
77,4400,1,0,55,64,76,56,TR
43,600,1,0,91,59,44,0,TR
88,4800,1,0,94,90,85,75,TR
90,3700,1,1,62,80,63,89,TR
91,6100,1,0,100,87,88,60,TR
80,5600,0,0,84,91,88,88,MWF
67,9100,0,0,79,72,74,71,Online
60,300,0,0,95,82,79,60,MWF
67,1100,0,0,45,36,76,56,Online
92,4200,0,0,88,77,78,73,TR
66,2600,1,0,97,94,77,92,TR
97,2200,0,0,98,94,90,97,Online
60,5300,0,0,96,98,82,90,MWF
95,2200,1,1,71,100,62,84,TR
55,6100,1,0,42,44,40,0,TR
89,3700,0,0,92,79,78,77,TR
85,300,0,0,88,89,65,87,TR
72,1000,0,1,71,61,58,61,Online
48,1100,1,0,60,72,66,54,MWF
100,5200,1,0,100,92,96,92,TR
100,1100,0,0,76,90,86,84,MWF
25,300,0,0,0,0,0,0,MWF
63,6600,0,0,37,73,0,67,MWF
41,1200,0,0,83,89,82,78,MWF
86,5500,0,0,91,66,85,80,MWF
80,1100,0,0,95,100,77,83,TR
65,2000,1,0,0,0,0,0,TR
88,1700,1,0,96,97,97,84,TR
75,1000,1,0,99,100,89,86,MWF
75,800,1,0,94,79,0,66,TR
25,1500,0,0,0,0,0,0,MWF
78,2800,1,0,76,92,84,76,TR
57,8300,1,0,32,0,0,0,TR
87,7000,1,0,96,92,97,77,TR
74,4900,1,0,79,78,60,60,TR
47,600,0,0,94,38,75,60,MWF
68,900,0,0,91,98,73,73,MWF
69,7600,1,0,61,38,51,84,MWF
74,1300,0,0,93,74,76,44,MWF
48,4700,0,0,70,31,0,0,MWF
95,3000,0,0,93,79,80,81,MWF
70,2800,1,0,82,61,66,0,TR
33,700,0,0,94,95,91,96,MWF
64,5800,1,0,46,50,40,17,TR
73,4600,1,0,68,71,53,61,TR
57,3400,1,0,24,60,86,65,Online
100,1000,1,0,84,88,86,84,TR
63,4300,1,0,83,79,89,83,TR
67,6800,1,0,81,55,81,81,MWF
93,1400,0,0,98,95,92,91,MWF
90,3700,0,0,89,89,87,87,MWF
59,6300,1,0,0,0,0,0,TR
90,4300,0,0,93,85,91,82,TR
61,1200,1,0,15,56,36,69,TR
71,5300,1,1,0,0,0,0,MWF
70,1300,1,1,100,100,87,99,Online
92,3100,1,0,82,93,77,82,TR
69,8700,0,0,90,74,84,61,MWF
71,3400,1,0,53,59,70,46,TR
93,5500,1,0,78,42,48,53,MWF
89,4500,1,0,61,37,43,52,TR
81,6800,1,0,81,82,84,61,TR
54,3100,1,0,71,0,44,39,TR
100,300,0,1,94,79,78,92,Online
76,3400,0,0,98,92,95,99,MWF
91,5200,1,0,97,98,86,92,TR
92,600,1,0,88,89,88,87,MWF
25,400,0,0,0,0,0,0,MWF
85,3700,1,0,80,100,82,69,TR
97,5100,0,0,88,80,95,72,Online
39,2300,1,0,90,90,97,79,TR
86,4800,0,0,94,83,80,85,Online
80,4900,1,0,0,0,0,0,TR
52,3200,1,0,85,79,73,76,TR
100,600,1,0,95,92,79,86,TR
96,1900,0,0,71,0,68,60,TR
57,1600,1,0,78,70,67,78,TR
84,4300,1,0,78,0,0,0,TR
61,5500,0,0,72,65,68,64,Online
85,6600,1,0,65,65,78,62,TR
86,1600,0,0,96,100,85,86,TR
88,6200,1,0,70,85,88,78,TR
93,300,0,0,84,83,87,83,Online
56,4700,1,0,50,18,64,0,TR
70,5600,0,0,0,0,0,0,MWF
90,6000,1,0,92,96,87,65,TR
100,2200,0,0,82,100,100,90,MWF
66,8900,1,0,39,44,64,58,MWF
52,5600,0,0,0,0,0,0,MWF
100,5000,1,0,0,0,0,0,TR
93,5900,1,0,73,98,73,77,TR
80,8500,1,0,75,50,86,76,TR
61,1600,0,0,80,87,69,87,MWF
78,4600,0,0,100,74,88,75,TR
52,4400,1,0,88,84,87,89,TR
71,5900,1,0,87,57,63,66,TR
74,5900,1,0,75,73,60,60,TR
75,5600,1,0,69,0,0,0,TR
87,4400,1,0,55,90,77,70,TR
93,1900,1,0,95,86,68,86,TR
94,2500,1,0,62,70,68,69,TR
80,4000,1,0,90,56,78,64,TR
90,5000,0,0,100,100,93,87,Online
87,5800,1,0,89,79,82,79,MWF
81,9500,1,0,80,72,47,60,TR
87,12300,1,0,75,87,90,79,TR
81,7200,0,0,75,61,75,67,Online
50,300,0,0,76,73,67,47,MWF
68,6500,1,0,85,97,95,95,TR
79,7900,1,0,30,37,89,65,TR
65,8200,1,0,15,5,0,0,TR
99,3100,1,0,86,74,78,81,TR
94,3000,1,0,100,93,96,96,TR
88,1900,1,0,86,88,88,79,TR
64,6400,1,0,66,66,35,68,TR
65,3300,0,0,97,53,95,83,MWF
63,3400,1,0,54,49,54,54,MWF
25,900,1,0,72,90,88,72,TR
100,1600,1,0,90,100,100,90,MWF
77,5300,1,0,76,77,73,77,TR
89,1300,1,0,97,77,78,88,TR
79,3400,1,0,84,62,93,66,TR
49,4100,0,0,74,79,90,79,MWF
90,1400,1,0,78,68,71,68,TR
53,1200,1,0,80,65,95,65,TR
83,5900,0,0,88,96,93,92,TR
71,600,1,1,83,56,60,56,TR
72,4400,0,0,76,90,82,82,MWF
95,5100,1,0,77,82,77,77,TR
25,300,0,0,97,93,88,88,MWF
85,5400,1,0,85,63,40,44,TR
96,2600,0,0,77,72,86,81,MWF
83,3900,1,0,73,92,94,80,MWF
21,100,0,0,93,64,66,60,MWF
85,3100,0,0,93,89,99,94,MWF
91,1600,1,0,76,58,90,85,TR
49,2900,0,0,0,0,0,0,MWF
83,3900,1,0,98,96,95,95,Online
96,2500,0,0,88,93,87,74,MWF
59,4300,1,0,66,71,65,65,TR
78,9300,1,0,66,85,66,60,TR
85,3300,0,0,81,87,92,87,MWF
75,4600,0,0,73,83,89,85,MWF
71,3400,0,0,96,87,77,87,MWF
80,1000,1,0,77,85,0,0,TR
89,3500,1,0,68,72,78,62,TR
54,4400,1,0,68,0,0,0,TR
66,6300,0,0,0,0,0,0,MWF
60,300,0,0,91,93,80,77,MWF
93,2400,0,0,88,78,96,78,MWF
64,2000,0,0,78,44,79,61,MWF
100,1900,0,0,73,80,83,80,Online
56,4600,0,0,82,82,91,72,MWF
78,5600,0,0,75,57,79,79,TR
75,300,0,0,67,80,0,0,TR
92,300,0,1,90,95,86,83,Online
97,6000,0,0,100,93,79,94,MWF
82,1400,1,0,59,88,61,62,TR
74,3800,0,0,97,96,83,86,MWF
97,4400,1,0,95,99,95,98,TR
72,4800,0,0,67,83,68,81,MWF
75,2000,1,0,78,77,57,57,TR
84,1800,0,0,81,78,85,85,Online
62,900,0,0,71,79,75,65,MWF
57,5100,1,0,65,46,71,60,TR
87,4500,1,0,98,100,93,93,MWF
91,4100,1,1,58,54,100,78,Online
70,2500,1,0,60,94,80,61,TR
97,900,1,0,92,93,93,79,TR
45,3000,1,0,91,94,91,91,MWF
84,6000,1,0,71,83,79,83,TR
74,2300,0,0,59,78,57,60,MWF
63,6100,0,0,74,59,43,90,MWF
100,300,0,0,93,98,69,81,Online
87,2200,0,0,78,84,72,72,MWF
76,3700,1,0,68,70,81,90,TR
96,2200,0,0,93,97,88,88,MWF
89,1500,0,0,86,80,0,61,TR
53,2600,1,1,82,95,88,63,Online
77,5900,0,0,35,74,67,60,TR
90,1000,1,0,72,79,71,82,TR
54,4300,1,0,78,87,82,82,TR
45,3500,1,0,94,84,79,84,TR
89,8700,0,0,88,82,68,96,Online
99,1900,0,0,100,97,99,79,MWF
86,2900,1,0,77,98,82,77,TR
0,0,0,0,0,0,0,0,MWF
92,300,0,0,65,56,65,60,MWF
96,1300,1,0,91,90,53,65,TR
70,6900,1,0,76,85,76,76,TR
68,1300,1,0,60,88,76,79,TR
77,6800,1,0,51,31,74,0,TR
59,6300,0,0,39,31,57,0,TR
76,1700,1,0,83,97,83,69,Online
81,2100,1,0,76,80,86,75,TR
48,600,1,0,71,62,42,56,TR
95,1000,1,0,86,60,73,72,MWF
89,1500,0,0,72,36,36,40,MWF
27,1100,0,0,0,0,0,0,MWF
80,2300,1,0,92,80,76,76,TR
24,700,0,0,23,0,0,0,MWF
70,5600,1,0,85,79,93,80,TR
64,1600,0,0,0,0,0,0,MWF
93,5000,1,0,83,44,76,77,TR
94,400,0,0,100,100,91,98,MWF
72,4200,1,0,70,84,60,70,TR
82,1100,0,0,100,94,58,92,MWF
79,6900,1,0,88,73,87,70,TR
77,3400,1,0,17,45,38,63,TR
56,6700,1,0,86,64,48,56,TR
86,2500,0,0,70,24,81,0,MWF
95,1300,1,0,90,72,83,66,TR
71,3500,0,0,66,76,54,60,MWF
79,2600,0,0,98,45,94,82,MWF
48,4600,1,0,74,48,75,72,Online
62,2000,1,0,75,78,93,69,TR
99,1500,1,0,97,99,95,97,TR
71,2400,1,0,91,98,96,84,TR
61,3600,1,0,88,81,81,79,TR
